symb,xymd,open,high,low,clos,diff,rate,gvol
SPI@SPX,20211014,4386.75,4439.73,4386.75,4438.26,74.46,1.71,1945034680
SPI@SPX,20211013,4358.01,4372.87,4329.92,4363.8,13.15,0.3,1939400310
SPI@SPX,20211012,4368.31,4374.89,4342.09,4350.65,-10.54,-0.24,1962095510
SPI@SPX,20211011,4385.44,4415.88,4360.59,4361.19,-30.15,-0.69,1695135230
SPI@SPX,20211008,4406.51,4412.02,4386.22,4391.34,-8.42,-0.19,1694086880
SPI@SPX,20211007,4383.73,4429.97,4383.73,4399.76,36.21,0.83,1949574510
SPI@SPX,20211006,4319.57,4365.57,4290.49,4363.55,17.83,0.41,2060091360
SPI@SPX,20211005,4309.87,4369.23,4309.87,4345.72,45.26,1.05,2029396100
SPI@SPX,20211004,4348.84,4355.51,4278.94,4300.46,-56.58,-1.3,2438454600
SPI@SPX,20211001,4317.16,4375.19,4288.52,4357.04,49.5,1.15,2207766760
SPI@SPX,20210930,4370.67,4382.55,4306.24,4307.54,-51.92,-1.19,2283948570
SPI@SPX,20210929,4362.41,4385.57,4355.08,4359.46,6.83,0.16,1897856440
SPI@SPX,20210928,4419.54,4419.54,4346.33,4352.63,-90.48,-2.04,2385159270
SPI@SPX,20210927,4442.12,4457.3,4436.19,4443.11,-12.37,-0.28,2043570000
SPI@SPX,20210924,4438.04,4463.12,4430.27,4455.48,6.5,0.15,1686869240
SPI@SPX,20210923,4406.75,4465.4,4406.75,4448.98,53.34,1.21,1967079540
SPI@SPX,20210922,4367.43,4416.75,4367.43,4395.64,41.45,0.95,2003483510
SPI@SPX,20210921,4374.45,4394.87,4347.96,4354.19,-3.54,-0.08,1914740490
SPI@SPX,20210920,4402.95,4402.95,4305.91,4357.73,-75.26,-1.7,2598257340
SPI@SPX,20210917,4469.74,4471.52,4427.76,4432.99,-40.76,-0.91,3786002040
SPI@SPX,20210916,4477.09,4485.87,4443.8,4473.75,-6.95,-0.16,1831249340
SPI@SPX,20210915,4447.49,4486.87,4438.37,4480.7,37.65,0.85,2126050600
SPI@SPX,20210914,4479.33,4485.68,4435.46,4443.05,-25.68,-0.57,2024366590
SPI@SPX,20210913,4474.81,4492.99,4445.7,4468.73,10.15,0.23,2065690410
SPI@SPX,20210910,4506.92,4520.47,4457.66,4458.58,-34.7,-0.77,1848742160
SPI@SPX,20210909,4513.02,4529.9,4492.07,4493.28,-20.79,-0.46,1818751700
SPI@SPX,20210908,4518.09,4521.79,4493.95,4514.07,-5.96,-0.13,1784366120
SPI@SPX,20210907,4535.38,4535.38,4513.0,4520.03,-15.4,-0.34,1781738540
SPI@SPX,20210903,4532.42,4541.45,4521.3,4535.43,-1.52,-0.03,1533435200
SPI@SPX,20210902,4534.48,4545.85,4524.66,4536.95,12.86,0.28,1782042940
SPI@SPX,20210901,4528.8,4537.11,4522.02,4524.09,1.41,0.03,1933543910
SPI@SPX,20210831,4529.75,4531.39,4515.8,4522.68,-6.11,-0.13,2161738710
SPI@SPX,20210830,4513.76,4537.36,4513.76,4528.79,19.42,0.43,1566528930
SPI@SPX,20210827,4474.1,4513.33,4474.1,4509.37,39.37,0.88,1668129890
SPI@SPX,20210826,4493.75,4495.9,4468.99,4470.0,-26.19,-0.58,1641318930
SPI@SPX,20210825,4490.45,4501.71,4485.66,4496.19,9.96,0.22,1771232710
SPI@SPX,20210824,4484.4,4492.81,4482.28,4486.23,6.7,0.15,1746057470
SPI@SPX,20210823,4450.29,4489.88,4450.29,4479.53,37.86,0.85,1854459170
SPI@SPX,20210820,4410.56,4444.35,4406.8,4441.67,35.87,0.81,1813100780
SPI@SPX,20210819,4382.44,4418.61,4367.73,4405.8,5.53,0.13,2207012170
SPI@SPX,20210818,4440.94,4454.32,4397.59,4400.27,-47.81,-1.07,1892720840
SPI@SPX,20210817,4462.12,4462.12,4417.83,4448.08,-31.63,-0.71,1912467000
SPI@SPX,20210816,4461.65,4480.26,4437.66,4479.71,11.71,0.26,1733040760
SPI@SPX,20210813,4464.84,4468.37,4460.82,4468.0,7.17,0.16,1537574220
SPI@SPX,20210812,4446.08,4461.77,4435.96,4460.83,13.13,0.3,1636025080
SPI@SPX,20210811,4442.18,4449.44,4436.42,4447.7,10.95,0.25,1872240610
SPI@SPX,20210810,4435.79,4445.21,4430.03,4436.75,4.4,0.1,1914891750
SPI@SPX,20210809,4437.77,4439.39,4424.74,4432.35,-4.17,-0.09,1717390770
SPI@SPX,20210806,4429.07,4440.82,4429.07,4436.52,7.42,0.17,1834529760
SPI@SPX,20210805,4408.86,4429.76,4408.86,4429.1,26.44,0.6,1965926800
SPI@SPX,20210804,4415.95,4416.17,4400.23,4402.66,-20.49,-0.46,2321431130
SPI@SPX,20210803,4392.74,4423.79,4373.0,4423.15,35.99,0.82,2204134920
SPI@SPX,20210802,4406.86,4422.18,4384.81,4387.16,-8.1,-0.18,1981527660
SPI@SPX,20210730,4395.12,4412.25,4389.65,4395.26,-23.89,-0.54,2246066580
SPI@SPX,20210729,4403.59,4429.97,4403.59,4419.15,18.51,0.42,2009413490
SPI@SPX,20210728,4402.95,4415.47,4387.01,4400.64,-0.82,-0.02,2092509490
