timestamp,open,high,low,close,volume
2022-08-01,10.98000000,12.57000000,8.79000000,9.03000000,12128813.40000000
2022-09-01,9.04000000,10.26000000,7.96000000,8.84000000,13105314.21000000
2022-10-01,8.85000000,9.00000000,7.31000000,8.51000000,8245710.87000000
2022-11-01,8.51000000,9.19000000,6.00000000,7.00000000,16066580.04000000
2022-12-01,7.00000000,7.50000000,5.94000000,6.14000000,10082411.22000000
2023-01-01,6.13000000,8.49000000,6.12000000,8.18000000,11533423.75000000
2023-02-01,8.17000000,15.80000000,7.85000000,11.98000000,41256295.98000000
2023-03-01,11.97000000,13.74000000,9.08000000,12.61000000,29952435.05000000
2023-04-01,12.62000000,14.20000000,10.10000000,10.60000000,16339503.18000000
2023-05-01,10.60000000,11.54000000,8.67000000,10.49000000,18390377.43000000
2023-06-01,10.49000000,10.74000000,6.82000000,9.57000000,16237173.33000000
2023-07-01,9.57000000,10.79000000,8.66000000,9.15000000,9445254.06000000
