symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@SOX,20230313,2883.88,2957.72,2861.45,2921.71,-2.22,-0.08,0
NAS@SOX,20230310,2995.9,3003.57,2909.52,2923.93,-56.28,-1.89,0
NAS@SOX,20230309,3037.58,3083.68,2976.35,2980.21,-61.18,-2.01,0
NAS@SOX,20230308,2981.8,3044.21,2979.42,3041.39,78.97,2.67,0
NAS@SOX,20230307,2996.85,3011.07,2950.81,2962.42,-32.17,-1.07,0
NAS@SOX,20230306,3036.58,3064.31,2988.75,2994.59,-33.75,-1.11,0
NAS@SOX,20230303,2982.56,3031.91,2961.84,3028.34,44.23,1.48,0
NAS@SOX,20230302,2909.75,2996.59,2892.22,2984.11,28.28,0.96,0
NAS@SOX,20230301,2967.4,2993.17,2945.27,2955.83,-2.56,-0.09,0
NAS@SOX,20230228,2945.88,2998.01,2937.0,2958.39,7.18,0.24,0
NAS@SOX,20230227,2983.39,2986.76,2949.7,2951.21,16.1,0.55,0
NAS@SOX,20230224,2936.9,2950.42,2913.15,2935.11,-53.7,-1.8,0
NAS@SOX,20230223,3002.69,3002.97,2931.25,2988.81,96.42,3.33,0
NAS@SOX,20230222,2910.83,2935.93,2875.56,2892.39,-13.87,-0.48,0
NAS@SOX,20230221,2961.12,2992.0,2901.71,2906.26,-99.61,-3.31,0
NAS@SOX,20230217,3032.79,3042.43,2980.14,3005.87,-49.37,-1.62,0
NAS@SOX,20230216,3077.8,3108.55,3051.25,3055.24,-77.83,-2.48,0
NAS@SOX,20230215,3092.72,3134.49,3063.23,3133.07,11.44,0.37,0
NAS@SOX,20230214,3024.16,3131.37,3013.25,3121.63,64.31,2.1,0
NAS@SOX,20230213,3022.78,3066.1,3001.27,3057.32,46.17,1.53,0
NAS@SOX,20230210,3025.09,3033.69,2979.74,3011.15,-48.47,-1.58,0
NAS@SOX,20230209,3112.71,3140.81,3039.01,3059.62,3.99,0.13,0
NAS@SOX,20230208,3106.21,3128.54,3049.97,3055.63,-68.52,-2.19,0
NAS@SOX,20230207,3042.86,3138.39,3033.04,3124.15,94.41,3.12,0
NAS@SOX,20230206,3027.5,3075.8,3018.78,3029.74,-52.37,-1.7,0
NAS@SOX,20230203,3069.88,3151.85,3064.68,3082.11,-59.73,-1.9,0
NAS@SOX,20230202,3103.61,3168.7,3088.17,3141.84,68.37,2.22,0
